A,B,C,D,E,F,G
18/03/2020,1,1,0,0,0,0
19/03/2020,1,2,0,0,0,0
21/03/2020,1,3,0,0,0,0
22/03/2020,1,4,0,0,0,0
23/03/2020,1,5,0,0,0,0
24/03/2020,6,11,0,0,0,0
25/03/2020,1,12,0,0,0,0
26/03/2020,2,14,0,0,0,0
27/03/2020,3,17,0,0,0,0
28/03/2020,1,18,1,1,0,0
30/03/2020,5,23,0,1,0,0
31/03/2020,5,28,0,1,0,0
01/04/2020,1,29,0,1,0,0
02/04/2020,20,49,0,1,0,0
03/04/2020,35,84,0,1,0,0
04/04/2020,7,91,0,1,0,0
05/04/2020,7,98,0,1,0,0
06/04/2020,15,113,0,1,0,0
07/04/2020,39,152,0,1,0,0
08/04/2020,7,159,0,1,0,0
