A,B,C,D,E,F,G
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,1,1,0,0,0,0
25/03/2020,1,2,0,0,0,0
27/03/2020,1,3,0,0,0,0
02/04/2020,5,8,0,0,0,0
04/04/2020,7,15,0,0,0,0
05/04/2020,3,18,0,0,0,0
06/04/2020,43,61,0,0,0,0
07/04/2020,24,85,0,0,0,0
