A,B,C,D,E,F,G
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,0,0,0,0,0,0
23/03/2020,0,0,0,0,0,0
24/03/2020,0,0,0,0,0,0
25/03/2020,4,4,0,0,0,0
26/03/2020,5,9,0,0,0,0
27/03/2020,5,14,0,0,1,1
28/03/2020,6,20,0,0,0,1
30/03/2020,7,27,0,0,0,1
31/03/2020,18,45,0,0,0,1
01/04/2020,32,77,0,0,0,1
02/04/2020,2,79,0,0,0,1
03/04/2020,35,114,0,0,0,1
04/04/2020,14,128,0,0,0,1
05/04/2020,7,135,0,0,0,1
06/04/2020,16,151,0,0,0,1
